ID,User,Date,Tweet
1338243378073374720,dadarynov,2020-12-13 22:04:19,"RT @MesutOzil1O88_: Need help @Arsenal? 😉❤
#YaGunnersYa"
1338243378027384834,kaltweiher,2020-12-13 22:04:19,RT @OaklandTowel: Move Abram to linebacker and bring in a guy like Earl...
1338243378002108416,malasadasbooks,2020-12-13 22:04:19,"RT @TheRealHoarse: Stacey Abrams spent years saying this but then Newt just... blurted it out.

Republicans need to keep people from voting…"
1338243377989640192,drizzle_wiener,2020-12-13 22:04:19,@Carolreboot @SL329TsMomA @deadeyebrakeman I know at my next surgery I’m going to request that the surgical team ta… https://t.co/mZ6YDLwUqK
1338243377901481984,sznbnsl,2020-12-13 22:04:19,one person followed me // automatically checked by https://t.co/vGXam6T79X
1338243377872199682,xostrilogy,2020-12-13 22:04:19,@madsrush_ It's an anime help
1338243377872113666,embroideruby_,2020-12-13 22:04:19,RT @embroideruby_: ✨first hoop of the year vs the last hoop of the year✨ https://t.co/1ikMhuAkw4
1338243377868009472,oneclevernigga,2020-12-13 22:04:19,i need to go to tulsa but i don’t wanna make the drive ☹️
1338243377867988994,twistedmic24,2020-12-13 22:04:19,@Sasha49_51 Not going to watch it.
1338243377867984897,larryesrealol28,2020-12-13 22:04:19,RT @Harry_Styles: Fine Line is one year old. I couldn’t be more grateful for you all continually finding new ways to change my life. Thank…
1338243377855344648,ErinPeve,2020-12-13 22:04:19,"RT @dropshippin: 🚀PLAYSTATION 5 GIVEAWAY🚀

Prizes: 🎮
- 1x Playstation 5 DISC Version
- 1x Dropship Calendar Membership
- 1x $100 Cash

Rule…"
1338243377851199491,TherealDrift4,2020-12-13 22:04:19,@Cameo002 I’m just saying Reese
1338243377847021569,shikhap11,2020-12-13 22:04:19,Paris weather as of 10:04 PM: 47.1 F
1338243377846894592,JAyP8SVN,2020-12-13 22:04:19,Today has been so good so far! I’m grateful for days like this!
1338243377842827273,Max83928706,2020-12-13 22:04:19,@RhetoricalHype peoples boundaries so they lose objectivity &amp; their real identity. Its actually same thing as real… https://t.co/iTFktLsCvN
1338243377838632967,KyRiceru,2020-12-13 22:04:19,@JamesRefactored i mean some people do deserve it tbh ... :///
1338243377838624770,saldww,2020-12-13 22:04:19,RT @g7byy: elementary school was a scam. why was i bringing cupcakes to give out on MY birthday
1338243377834364929,tsutsugofanclub,2020-12-13 22:04:19,@MVFR33 @urshelawave @YasmaniGrandaI And stupid!
